_id,url,title,article,summary,nlu.Concepts[0].name,nlu.Concepts[1].name,nlu.Location[0].name,nlu.Location[1].name,classification.isIncident,locations[0].address,locations[1].address,trfk_type.keys[0],trfk_subtype.keys[0]
5e8222f70dc171d3c93e717c,http://timesofindia.indiatimes.com/city/indore/two-arrested-for-trafficking-28-child-labourers-from-up/articleshow/19400105.cms,Two arrested for trafficking 28 child labourers from UP,"This story is from April 5, 2013\n\nINDORE: Twenty\n\nworking on hand driven carts were rescued and two people bringing children from Uttar Pradesh to work on daily wages were arrested from criminal Munna Pahalwan's den in Vinoba Nagar here yesterday, the police said today.\n\nDownload The Times of India News App for Latest City News\n\nSubscribe Start Your Daily Mornings with Times of India Newspaper! Order Now\n\nAll children hailing from different parts of Uttar Pradesh below the age of 14 were sent to the Bal Surksha Awas, investigating officer R L Katiza said.The accused who hailed from Bahraich district in UP were booked under Sections 23 and 26 of the Kishore Nyay Adhiniyam and Sections 370 and 371 of the Indian Penal Code, he said.The police also organised an educational class for rescued children before sending them to a relief centre, he said.","This story is from April 5, 2013INDORE: Twentyworking on hand driven carts were rescued and two people bringing children from Uttar Pradesh to work on daily wages were arrested from criminal Munna Pahalwan's den in Vinoba Nagar here yesterday, the police said today.\nDownload The Times of India News App for Latest City NewsSubscribe Start Your Daily Mornings with Times of India Newspaper!\nOrder NowAll children hailing from different parts of Uttar Pradesh below the age of 14 were sent to the Bal Surksha Awas, investigating officer R L Katiza said.The accused who hailed from Bahraich district in UP were booked under Sections 23 and 26 of the Kishore Nyay Adhiniyam and Sections 370 and 371 of the Indian Penal Code, he said.The police also organised an educational class for rescued children before sending them to a relief centre, he said.",Broadsheet,Bahraich,India,Bahraich,Incident,"Uttar Pradesh, India","Bahraich, Uttar Pradesh, India",Child Trafficking,Illicit Activities
5e82231a0dc171d3c93e718c,http://reliefweb.int/report/syrian-arab-republic/exploit-or-be-exploited-survival-sex-among-syrias-refugee-women,Exploit or Be Exploited: Survival Sex Among Syria's Refugee Women - Syrian Arab Republic,"Cecily Hilleary\n\nApril 11, 2013\n\nEach day, hundreds of Syrian women straggle into Jordan, Egypt and other neighboring countries in search of security and a better life for themselves and their children. But because many of them have left their husbands behind in Syria, they are vulnerable sexual violence and sexual exploitation.\n\nHumanitarian groups are working to tackle the problem, but complain that a lack of money to fund the effort prevents them from doing more to help these women and girls.\n\nAsmaa Donahue, an advisor with the International Rescue Committee (IRC), describes the challenges refugee women face once they cross the border:\n\n“While the lack of security in camps makes them less safe for women, at least things like food and some supplies and services are available,” Donahue said. “A much larger proportion of refugees in this crisis are actually living outside camps in towns and villages, and don’t have access to many services at all.”\n\n“Many are struggling to make ends meet, barely able to scrape together the monthly rent for overcrowded apartments, or squatting in abandoned buildings or makeshift camps. Many are not able to work legally and have no steady source of income,” Donahue said.\n\nAs a result, women resort to risky survival strategies such as early or forced marriage or exchanging sex for food and a place to live.\n\nExploit—or be exploited\n\nThe Zaatari refugee camp in northwestern Jordan has, by all reports, become a hub for quick marriages between Syrian women and men from other countries, particularly the Gulf area. Hamida Ghafour, a foreign affairs reporter for the Toronto Star, recently spent time at the camp for a report on the subject and describes it as “a buyer’s market.”\n\n“If you are a groom and you are looking for a bride, preying on Syrian women is easier because they are in a position of not having any bargaining rights in getting a mahr, a sort of dowry,” she said.\n\n(Note: In Islamic law, mahr, a requirement of marriage, is paid to the bride and is hers to spend or save as she wants. However, in some countries, it is paid to her family).\n\n“A lot of these women don’t know what else to do with their daughters, because they don’t have a tradition like you see elsewhere in the Arab world. Girls don’t go out and live on their own, go to university or live a single life,” Ghafour said, “so they have to get married, settle down.”\n\nSome men go to Jordan with the best of intentions, either out of a sense of religious duty or in search of a good wife, but because there is no way to investigate the backgrounds of prospective grooms and their families, families cannot be certain that their daughters will be treated well.\n\nThe phenomenon has created new business opportunities; Ghafour relates the story of “Um Majid,” a 28-year-old refugee from Homs who works as a marriage broker.\n\nIt began when a local aid organization approached her to ask if she knew any “pretty girls,” Um Majid said. Most of her business is conducted through word of mouth. Sometimes, she admits, she goes into the Zaatari camp posing as an aid worker to scout potential brides for her clients. She expresses shame, but says life is all about survival—you either exploit or be exploited.\n\nUnderage Marriages\n\nDominique Hyde, the United Nations Children’s Fund representative in Jordan, says that while no official statistics are available, she confirms that UNICEF has seen an increase in early marriages to Jordanian, Egyptian and Gulf men. While early marriage—at the ages of 15 or 16—are not unusual in Arab society, particularly in rural areas, some refugee girls are being married off as early as 12 or 13.\n\n“Child brides are at risk of violence, abuse and exploitation, and child marriage often results in separation from family and friends and lack of freedom to participate in community activities, which can have major consequences on girls’ mental and physical well-being,” Hyde said.\n\nUNICEF is working with other U.N. partners in Jordan to explain to Syrian families the challenges of early marriages.\n\n“Obviously,” Hyde said, “we can advocate with parents, but the reality is that when they have no more resources, they sometimes see marriage as the only solution for their daughters.”\n\nMarriage “Lite”\n\nOstensibly designed as a way to get around the high price of marriage and avoid the sin of adultery, the misyar – or temporary—marriage, legal only in Saudi Arabia and Egypt, allows a man and woman to have sexual relations even though they don’t live in the same home.\n\nNewspaper accounts back up statements by aid workers that traditionally, some wealthy Gulf men vacation in poorer countries such as Jordan or Syria, where they enter into misyar contracts for the duration of their holiday, then abandon their ‘wives’ when they return home.\n\nRefugee parents are approving such unions in the hopes that these temporary unions may someday lead to normal marriages. In reality, the endings are not so happy.\n\n“The girl goes off with the husband, and after a few weeks or a few months, the husband gets tired of his young bride and sends her back to her family,"" Ghafour told VOA. ""And there is nothing anyone can do about this, because the marriage is not legally registered with the Jordanian government, and so the girls, the families, don’t have any legal recourse.”\n\nThose who are abandoned by their misyar husbands return in disgrace and may be forced to turn to prostitution in order to survive.\n\nProstitution\n\nBecause of the special stigma attached to prostitution in the Middle East, it is difficult to get information about its prevalence in refugee communities. Humanitarian workers appear reluctant to admit that it takes place under their care. What can safely be said is that prostitution is a desperate measure taken by women who have no other means of support.\n\nThe Toronto Star’s Ghafour had the opportunity to sit down with a young woman who admitted to working as a prostitute. “She was 15, actually, and she had gone through a misyar marriage. Essentially, that’s prostitution, isn’t it? She was too afraid to actually sit down and be interviewed, for natural reasons. She was worried for her life.”\n\nGhafour says that local community-based organizations are very wary of helping women who work as prostitutes. “They don’t see it as a priority because there are so many negative connotations about it,” Ghafour said.\n\nInsufficient Funds\n\nAid groups say they are struggling to keep up with rapidly increasing demands for services.\n\n“The international donors and donor governments have only met a quarter of their funding commitments to this humanitarian crisis, and that commitment is already based on refugee estimates that were lower than what we’re currently seeing,” IRC’s Donahue said.\n\nAccording to UNICEF, nearly a quarter of a million of Syrian child refugees currently reside in Jordan. More than 2,000 refugees have streamed across the borders every day, and Hyde says she expects these numbers to more than double by July, and triple by December.\n\n“The humanitarian community was extremely generous to UNICEF Jordan in 2012,” Hyde said. “But this year only 19% or about $12 million of the $57 million appeal for Jordan has been confirmed.”\n\nBoth groups say that unless they receive significant new funding, they will be forced to scale back on services drastically in the coming months.","Cecily HillearyApril 11, 2013Each day, hundreds of Syrian women straggle into Jordan, Egypt and other neighboring countries in search of security and a better life for themselves and their children.\nAs a result, women resort to risky survival strategies such as early or forced marriage or exchanging sex for food and a place to live.\nExploit—or be exploitedThe Zaatari refugee camp in northwestern Jordan has, by all reports, become a hub for quick marriages between Syrian women and men from other countries, particularly the Gulf area.\n“A lot of these women don’t know what else to do with their daughters, because they don’t have a tradition like you see elsewhere in the Arab world.\nWhile early marriage—at the ages of 15 or 16—are not unusual in Arab society, particularly in rural areas, some refugee girls are being married off as early as 12 or 13.",Marriage,Humanitarian aid,Homs,Middle East,Article,Jordan,Egypt,Child Trafficking,Accommodation/Hotel/Motel
5e8223380dc171d3c93e719c,http://www.dw.de/eu-issues-report-on-human-trafficking/a-16745031?maca=en-rss-en-all-1573-rdf,EU issues report on human trafficking,"At a press conference in Brussels on Monday, Malmstrom introduced the results of the European Commission study that analyzed human trafficking in the EU from 2008 to 2010.\n\nAccording to the figures, there were over 23,000 identified or presumed victims of human trafficking over the three-year period. This represents an increase of 18 percent in the number of victims, but at the same time, the number of convictions has dropped by 13 percent.\n\nDespite an agreement reached two years ago by the European Parliament on new measures to prevent and combat human trafficking and to protect victims of the crime, only six of the EU's 27 members had ratified the measures at the national level ahead of last week's deadline. Germany was among the 21 nations that had not ratified the measures.\n\n""It is difficult to imagine that in our free and democratic EU countries, tens of thousands of human beings can be deprived of their liberty and exploited, traded as commodities for profit,"" said Malmstrom in a press conference. ""I am very disappointed to see that, despite these alarming trends, only a few countries have implemented the anti-trafficking legislation and I urge those who have not yet done so to respect their obligations.""\n\nEU members must 'stop dragging their feet'\n\nMalmstrom added that the lack of binding legal framework in the 21 EU countries was surprising given that all member states had strongly supported the measures when they were introduced and quickly approved in 2011.\n\n""It is high time for member states to stop dragging their feet,"" she said.\n\nThe EU directive would provide a common definition of the crime of human trafficking across the bloc, meaning it would be viewed as equally severe in every country. The measures would also provide proper support to victims of trafficking crimes.\n\nAccording to Malmstrom, it is difficult for police to convict criminals for the crime of human trafficking, saying that sometimes a conviction of a related, but less-severe crime - such as pimping - was possible, but implementing the EU-wide rules would make a trafficking conviction easier.\n\nThe Commission's report indicated that 62 percent of the human trafficking victims had been used for sexual exploitation. Other victims were forced into labor jobs or had organs removed for trade on the black market. Most of the victims referred to in the study come from EU member states (61 percent), and come in particularly high numbers from Romania and Bulgaria. Eighty percent of all victims were women and girls.","At a press conference in Brussels on Monday, Malmstrom introduced the results of the European Commission study that analyzed human trafficking in the EU from 2008 to 2010.\nAccording to the figures, there were over 23,000 identified or presumed victims of human trafficking over the three-year period.\nThe EU directive would provide a common definition of the crime of human trafficking across the bloc, meaning it would be viewed as equally severe in every country.\nThe Commission's report indicated that 62 percent of the human trafficking victims had been used for sexual exploitation.\nMost of the victims referred to in the study come from EU member states (61 percent), and come in particularly high numbers from Romania and Bulgaria.",European Union,Treaty of Lisbon,Bulgaria,Romania,Article,"Brussels, Bruxelles-Capitale, Brussels Capital, Belgium",Germany,Child Trafficking,Illicit Activities
5e8223140dc171d3c93e718a,http://www.haaretz.com/news/national/far-right-israeli-legislator-sponsors-protest-against-organ-harvesting-in-china.premium-1.514978?locallinksenabled=false,Far-right Israeli Legislator Sponsors Protest Against Organ Harvesting in China,"Far-right MK Moshe Feiglin (Likud) is sponsoring a one-day conference on organ harvesting in China this month despite protests by Beijing.\n\nLast November, amid pressure from the Chinese Embassy, the Knesset shelved a petition on the issue signed by nine MKs – although it was not clear the MKs knew what they were signing. Feiglin, in any case, has long opposed the harvesting of organs from prisoners in northern China.\n\nIsrael, as a representative of the Jewish people, cannot remain silent when such horrors are perpetrated in the world,"" he told Haaretz. ""If the Jewish people keeps silent on this issue, Israel will be undermining, to some extent, the very justification for its existence. Pressure is being applied by the Chinese to cancel the event. Pressure is being put on me from above.\n\nCrystal Chen, a Falun Gong meditation instructor and a former prisoner in a Chinese labor camp, is scheduled to speak at the April 24 conference. Before her talk, a documentary on organ harvesting in China will be shown.\n\nIn China, political prisoners are raised like geese on special farms, and their organs are harvested for transplants whenever orders for an organ for transplanting are placed, Feiglin wrote in a Facebook posting about two weeks ago.\n\nNot only must we join every legislative initiative in the West aimed at pressuring the Communist regime of slavery in China, we, as citizens of Israel, the country of the People of the Book, must spearhead such initiatives. How can we continue to point a finger at the world, which said nothing when the Nazi atrocities were committed, if we say nothing today – simply because of economic interests?\n\nThen-Knesset Speaker Reuven Rivlin told the Chinese that November's initiative was an independent one by MKs, whose actions reflected freedom of expression. As a result, there was no attempt to block their efforts.\n\nKeep updated: Sign up to our newsletter Email * Please enter a valid email address Sign up Please wait… Thank you for signing up. We've got more newsletters we think you'll find interesting. Click here Oops. Something went wrong. Please try again later. Try again Thank you, The email address you have provided is already registered. Close\n\nRivlin said the Knesset was not officially involved in the initiative and that he had no intention of allowing a discussion on the matter in the legislature. He said the MKs who had signed the petition had no intention of attacking the Chinese government.\n\nMoshe Feiglin Emil Salman","Far-right MK Moshe Feiglin (Likud) is sponsoring a one-day conference on organ harvesting in China this month despite protests by Beijing.\nFeiglin, in any case, has long opposed the harvesting of organs from prisoners in northern China.\nIsrael, as a representative of the Jewish people, cannot remain silent when such horrors are perpetrated in the world,"" he told Haaretz.\nBefore her talk, a documentary on organ harvesting in China will be shown.\nThen-Knesset Speaker Reuven Rivlin told the Chinese that November's initiative was an independent one by MKs, whose actions reflected freedom of expression.",Likud,Israel,Beijing,Israel,Article,Israel,"Beijing, China",,Health/Beauty Services
5e8222e00dc171d3c93e7176,http://www.guardian.co.uk/global-development/gallery/2013/apr/03/faces-modern-day-slavery-in-pictures,The faces of modern-day slavery – in pictures,"In the past decade, the extent of trafficking for sexual exploitation has started to become apparent, highlighting one of the most visible and reported manifestations of modern slavery. Some estimates put the value of trafficking in women and girls for sexual exploitation at more than $7bn a year, although data on this complex criminal industry is hard to quantify. Europe, particularly eastern Europe, is a huge transit and destination region for those trafficked. According to the Czech Institute of Criminology, 5% to 10% of females who are trafficked in the Czech Republic are underage\n\nPhotograph: Michal Cizek/AFP/Getty Images","In the past decade, the extent of trafficking for sexual exploitation has started to become apparent, highlighting one of the most visible and reported manifestations of modern slavery.\nSome estimates put the value of trafficking in women and girls for sexual exploitation at more than $7bn a year, although data on this complex criminal industry is hard to quantify.\nEurope, particularly eastern Europe, is a huge transit and destination region for those trafficked.\nAccording to the Czech Institute of Criminology, 5% to 10% of females who are trafficked in the Czech Republic are underagePhotograph: Michal Cizek/AFP/Getty Images",Germany,Czech Republic,Czech Republic,Europe,Incident,Czechia,,Labour Exploitation,Illicit Activities
5e8223010dc171d3c93e7183,http://www.thehindu.com/news/cities/vijayawada/district-tops-child-labour-cases-in-state/article4587728.ece,District tops child labour cases in State,"Krishna District occupies the top position in the field of education, but has also acquired a dubious distinction of being No.1 in child labour cases also. Several glaring facts have come forward in a recent survey conducted by the Labour Department.\n\nThe officials rescued as many as 1,807 child labours in Zone-I (i.e. East and West Godavari and Krishna districts) and in Zone-II (in Guntur, Prakasham and Nellore districts) during a special drive conducted from February 16 to March 31.\n\nOf the total, 744 children engaged in works were rescued in Krishna district, which was the highest number in State (up to March 28). Another 14 children, including a few girls, were rescued from hazardous working conditions, said Joint Commissioner of Labour Y. Surya Prasad, who was the in-charge for Zone I and II in the special drive.\n\nEach child has a sad saga and was deprived of parents’ love.\n\nMost of the labours were from broken families, migrated labourers, orphans, abandoned children, bonded labourers engaged by parents or guardians due to poverty.\n\nIn many cases, violation of child rights, domestic violence, poor implementation of Right to Education Act was observed.\n\nIn some cases, the employers acted cruelly with the children, by detaining and causing burns to children, Krishna District Deputy Commissioner of Labour (DCL) S.Y. Srinivas told The Hindu.\n\nPoor rehabilitation\n\nOfficials identified that boys and girls, aged between 10 and 15 years from all over the State and from neighbouring States are working in highly dangerous conditions in Krishna district. Several children were rescued from industries, houses, hotels and construction works, NCLP in-charge Project Director D. Anjaneya Reddy said. The government has appointed several departments, including Revenue, Police, Labour, National Child Labour Project, Education, Juvenile Welfare, Women Development and Child Welfare departments and constituted Child Welfare Committee (CWC) to protect child rights.\n\nBut, due to poor coordination between the departments and alleged negligence of the officials the Acts were not implemented properly, and the rescued children were not rehabilitated.\n\nOn March 19, a 12-year-old child labour, Gopa Ram of Rajasthan, who was rescued by the officials, died in a road accident in the district.","Krishna District occupies the top position in the field of education, but has also acquired a dubious distinction of being No.1 in child labour cases also.\nOf the total, 744 children engaged in works were rescued in Krishna district, which was the highest number in State (up to March 28).\nIn some cases, the employers acted cruelly with the children, by detaining and causing burns to children, Krishna District Deputy Commissioner of Labour (DCL) S.Y.\nThe government has appointed several departments, including Revenue, Police, Labour, National Child Labour Project, Education, Juvenile Welfare, Women Development and Child Welfare departments and constituted Child Welfare Committee (CWC) to protect child rights.\nOn March 19, a 12-year-old child labour, Gopa Ram of Rajasthan, who was rescued by the officials, died in a road accident in the district.",Andhra Pradesh,Childhood,Zone-II,Guntur district,Article,"State of Rājasthān, Rajasthan, India",,Child Labour,Child Marriage
5e8223290dc171d3c93e7197,http://www.adelaidenow.com.au/news/breaking-news/sa-man-on-child-exploitation-charges/story-e6frea7l-1226619781616?from=public_rss,SA man on child exploitation charges,"A SOUTH Australian man has been charged with producing child exploitation material after a tip-off from interstate authorities.\n\nDetectives arrested the 70-year-old man from Adelaide's northern suburbs after receiving information from Queensland police.\n\nThe man has been charged with one count each of accessing, producing and possessing child exploitation material of an aggravated nature and one count of basic possession of child exploitation material.\n\nPolice will allege that the access and production offences occurred over the internet on December 17 last year and that the possession offences occurred on Saturday at the man's home address.\n\nThe aggravated aspect of the offences is due to the age of the children depicted in the material, police say.\n\nThe man was granted police bail and will appear in the Elizabeth Magistrates Court on May 15.\n\nOriginally published as SA man on child exploitation charges","A SOUTH Australian man has been charged with producing child exploitation material after a tip-off from interstate authorities.\nDetectives arrested the 70-year-old man from Adelaide's northern suburbs after receiving information from Queensland police.\nThe man has been charged with one count each of accessing, producing and possessing child exploitation material of an aggravated nature and one count of basic possession of child exploitation material.\nPolice will allege that the access and production offences occurred over the internet on December 17 last year and that the possession offences occurred on Saturday at the man's home address.\nOriginally published as SA man on child exploitation charges",Bail,Australia,Queensland,Adelaide,Incident,"State of Queensland, Queensland, Australia","Adelaide, South Australia, Australia",Child Sexual Exploitation,Illicit Activities
5e8223990dc171d3c93e71c2,http://timesofindia.indiatimes.com/india/eighty-eight-sri-lankan-refugees-rescued-5-nabbed-for-human-trafficking/articleshow/19743709.cms,"Sri Lankan Refugee Rescue: Eighty-eight Sri Lankan refugees rescued, 5 nabbed for human trafficking","This story is from April 26, 2013\n\nDownload The Times of India News App for Latest India News\n\nSubscribe Start Your Daily Mornings with Times of India Newspaper! Order Now\n\nMANGALORE: The central crime branch (CCB) has nabbed five people for alleged human trafficking and rescued 88 Sri Lankan Tamil refugees from their clutches, police said on Friday.The accused were caught on Tuesday from a boat parked at the Mangalore Port while they were illegally transporting the refugees, including 22 women and children, to Australia on the pretext of providing them employment, police sources told PTI.The refugees will be sent back to their camps in Tamil Nadu , police said.","This story is from April 26, 2013Download The Times of India News App for Latest India NewsSubscribe Start Your Daily Mornings with Times of India Newspaper!\nOrder NowMANGALORE: The central crime branch (CCB) has nabbed five people for alleged human trafficking and rescued 88 Sri Lankan Tamil refugees from their clutches, police said on Friday.The accused were caught on Tuesday from a boat parked at the Mangalore Port while they were illegally transporting the refugees, including 22 women and children, to Australia on the pretext of providing them employment, police sources told PTI.The refugees will be sent back to their camps in Tamil Nadu , police said.",Sri Lanka,Tamil Nadu,Australia,Mangalore,Incident,Australia,"State of Tamil Nādu, Tamil Nadu, India",Child Trafficking,Illicit Activities
5e8223380dc171d3c93e719d,http://www.dw.de/eu-issues-report-on-human-trafficking/a-16745031?maca=en-rss-en-top-1022-rdf,EU issues report on human trafficking,"At a press conference in Brussels on Monday, Malmstrom introduced the results of the European Commission study that analyzed human trafficking in the EU from 2008 to 2010.\n\nAccording to the figures, there were over 23,000 identified or presumed victims of human trafficking over the three-year period. This represents an increase of 18 percent in the number of victims, but at the same time, the number of convictions has dropped by 13 percent.\n\nDespite an agreement reached two years ago by the European Parliament on new measures to prevent and combat human trafficking and to protect victims of the crime, only six of the EU's 27 members had ratified the measures at the national level ahead of last week's deadline. Germany was among the 21 nations that had not ratified the measures.\n\n""It is difficult to imagine that in our free and democratic EU countries, tens of thousands of human beings can be deprived of their liberty and exploited, traded as commodities for profit,"" said Malmstrom in a press conference. ""I am very disappointed to see that, despite these alarming trends, only a few countries have implemented the anti-trafficking legislation and I urge those who have not yet done so to respect their obligations.""\n\nEU members must 'stop dragging their feet'\n\nMalmstrom added that the lack of binding legal framework in the 21 EU countries was surprising given that all member states had strongly supported the measures when they were introduced and quickly approved in 2011.\n\n""It is high time for member states to stop dragging their feet,"" she said.\n\nThe EU directive would provide a common definition of the crime of human trafficking across the bloc, meaning it would be viewed as equally severe in every country. The measures would also provide proper support to victims of trafficking crimes.\n\nAccording to Malmstrom, it is difficult for police to convict criminals for the crime of human trafficking, saying that sometimes a conviction of a related, but less-severe crime - such as pimping - was possible, but implementing the EU-wide rules would make a trafficking conviction easier.\n\nThe Commission's report indicated that 62 percent of the human trafficking victims had been used for sexual exploitation. Other victims were forced into labor jobs or had organs removed for trade on the black market. Most of the victims referred to in the study come from EU member states (61 percent), and come in particularly high numbers from Romania and Bulgaria. Eighty percent of all victims were women and girls.","At a press conference in Brussels on Monday, Malmstrom introduced the results of the European Commission study that analyzed human trafficking in the EU from 2008 to 2010.\nAccording to the figures, there were over 23,000 identified or presumed victims of human trafficking over the three-year period.\nThe EU directive would provide a common definition of the crime of human trafficking across the bloc, meaning it would be viewed as equally severe in every country.\nThe Commission's report indicated that 62 percent of the human trafficking victims had been used for sexual exploitation.\nMost of the victims referred to in the study come from EU member states (61 percent), and come in particularly high numbers from Romania and Bulgaria.",European Union,Treaty of Lisbon,Bulgaria,Romania,Article,"Brussels, Bruxelles-Capitale, Brussels Capital, Belgium",Germany,Child Trafficking,Illicit Activities
5e8223a60dc171d3c93e71cd,http://www.news.com.au/breaking-news/national/nsw-rejects-mandatory-jail-for-pedophiles/story-e6frfku9-1226631537343?from=public_rss,NSW rejects mandatory jail for pedophiles,"NSW Attorney-General Greg Smith has rejected calls from interest groups for mandatory sentences for people convicted of molesting children.\n\n""Mandatory sentencing has been known to fail in Australia, where it's been brought in,"" Mr Smith told reporters in Sydney on Monday.\n\nHe acknowledged reports that only a handful of the hundreds of men convicted of having sex with children under 10 in the last decade have been jailed for the minimum standard term of 15 years.\n\nThe government will encourage judges to consider tougher penalties, he says.\n\n""We're looking at increasing the number of child sex offences for the standard non-parole period,"" he said.\n\n""We're looking at a way of sending messages to the judges that the community is concerned.""\n\nThe system allows judges' discretion in deciding punishments for convicted pedophilia, which may be less than the standard non-parole period.\n\nMr Smith says implementing mandatory sentencing could result in the deaths of more victims if criminals know they will be jailed for their crimes.\n\nHe is also concerned that juries may be less likely to convict an offender if they know a conviction will lead to a mandatory sentence, and offenders are less likely to plead guilty.","NSW Attorney-General Greg Smith has rejected calls from interest groups for mandatory sentences for people convicted of molesting children.\n""Mandatory sentencing has been known to fail in Australia, where it's been brought in,"" Mr Smith told reporters in Sydney on Monday.\n""We're looking at increasing the number of child sex offences for the standard non-parole period,"" he said.\nThe system allows judges' discretion in deciding punishments for convicted pedophilia, which may be less than the standard non-parole period.\nMr Smith says implementing mandatory sentencing could result in the deaths of more victims if criminals know they will be jailed for their crimes.",Criminal law,Crime,Australia,Sydney,Incident,"Sydney, New South Wales, Australia",,Child Sexual Exploitation,Illicit Activities
