article_id,indicator1,indicator2,indicator3
5e8222f70dc171d3c93e717c,"('redflag8', tensor([[0.0726]]))","('redflag14', tensor([[0.0627]]))","('redflag11', tensor([[0.0616]]))"
5e82231a0dc171d3c93e718c,"('redflag11', tensor([[0.1136]]))","('redflag1', tensor([[0.1044]]))","('redflag8', tensor([[0.0918]]))"
5e8223380dc171d3c93e719c,"('redflag14', tensor([[0.1251]]))","('redflag16', tensor([[0.0976]]))","('redflag11', tensor([[0.0953]]))"
5e8223140dc171d3c93e718a,"('redflag2', tensor([[0.1559]]))","('redflag11', tensor([[0.1406]]))","('redflag13', tensor([[0.1335]]))"
5e8222e00dc171d3c93e7176,"('redflag16', tensor([[0.1367]]))","('redflag14', tensor([[0.1212]]))","('redflag17', tensor([[0.1178]]))"
5e8223010dc171d3c93e7183,"('redflag18', tensor([[0.0807]]))","('redflag8', tensor([[0.0789]]))","('redflag14', tensor([[0.0717]]))"
5e8223290dc171d3c93e7197,"('redflag14', tensor([[0.1651]]))","('redflag10', tensor([[0.1566]]))","('redflag17', tensor([[0.1503]]))"
5e8223990dc171d3c93e71c2,"('redflag5', tensor([[0.1280]]))","('redflag10', tensor([[0.1133]]))","('redflag2', tensor([[0.1087]]))"
5e8223380dc171d3c93e719d,"('redflag14', tensor([[0.1251]]))","('redflag16', tensor([[0.0976]]))","('redflag11', tensor([[0.0953]]))"
5e8223a60dc171d3c93e71cd,"('redflag14', tensor([[0.0504]]))","('redflag17', tensor([[0.0311]]))","('redflag7', tensor([[0.0290]]))"
5e8223c00dc171d3c93e71dc,"('redflag11', tensor([[0.1969]]))","('redflag17', tensor([[0.1831]]))","('redflag13', tensor([[0.1831]]))"
5e8223290dc171d3c93e7196,"('redflag14', tensor([[0.1572]]))","('redflag10', tensor([[0.1444]]))","('redflag5', tensor([[0.1416]]))"
5e8223c70dc171d3c93e71e1,"('redflag4', tensor([[0.0806]]))","('redflag13', tensor([[0.0772]]))","('redflag9', tensor([[0.0770]]))"
5e8223c00dc171d3c93e71da,"('redflag11', tensor([[0.1349]]))","('redflag18', tensor([[0.1051]]))","('redflag10', tensor([[0.1020]]))"
5e82237b0dc171d3c93e71b8,"('redflag11', tensor([[0.1093]]))","('redflag17', tensor([[0.0968]]))","('redflag9', tensor([[0.0901]]))"
5e8223870dc171d3c93e71bd,"('redflag16', tensor([[0.0688]]))","('redflag17', tensor([[0.0662]]))","('redflag14', tensor([[0.0607]]))"
5e8222f70dc171d3c93e717d,"('redflag8', tensor([[0.1556]]))","('redflag6', tensor([[0.1515]]))","('redflag2', tensor([[0.1500]]))"
5e82237b0dc171d3c93e71b7,"('redflag11', tensor([[0.1093]]))","('redflag17', tensor([[0.0968]]))","('redflag9', tensor([[0.0901]]))"
5e8223d40dc171d3c93e71e5,"('redflag9', tensor([[0.0655]]))","('redflag11', tensor([[0.0653]]))","('redflag13', tensor([[0.0481]]))"
5e8223c00dc171d3c93e71db,"('redflag11', tensor([[0.0777]]))","('redflag17', tensor([[0.0737]]))","('redflag10', tensor([[0.0576]]))"
5e8222e00dc171d3c93e7175,"('redflag1', tensor([[0.1400]]))","('redflag10', tensor([[0.1298]]))","('redflag11', tensor([[0.1210]]))"
5e8223df0dc171d3c93e71f6,"('redflag8', tensor([[0.1412]]))","('redflag10', tensor([[0.1280]]))","('redflag14', tensor([[0.1158]]))"
5e8223df0dc171d3c93e71f8,"('redflag11', tensor([[0.0560]]))","('redflag10', tensor([[0.0533]]))","('redflag5', tensor([[0.0529]]))"
5e8223ee0dc171d3c93e71ff,"('redflag8', tensor([[0.1268]]))","('redflag7', tensor([[0.0900]]))","('redflag14', tensor([[0.0894]]))"
5e8223d40dc171d3c93e71e4,"('redflag11', tensor([[0.0804]]))","('redflag9', tensor([[0.0708]]))","('redflag13', tensor([[0.0578]]))"
5e8223ee0dc171d3c93e71fd,"('redflag17', tensor([[0.0646]]))","('redflag10', tensor([[0.0486]]))","('redflag16', tensor([[0.0465]]))"
5e82241f0dc171d3c93e7229,"('redflag7', tensor([[0.1705]]))","('redflag17', tensor([[0.1570]]))","('redflag14', tensor([[0.1554]]))"
5e82242a0dc171d3c93e722e,"('redflag14', tensor([[0.1166]]))","('redflag5', tensor([[0.1146]]))","('redflag4', tensor([[0.1096]]))"
5e8224410dc171d3c93e7237,"('redflag9', tensor([[0.1202]]))","('redflag11', tensor([[0.1162]]))","('redflag17', tensor([[0.1062]]))"
5e82247f0dc171d3c93e7256,"('redflag11', tensor([[0.0610]]))","('redflag18', tensor([[0.0501]]))","('redflag8', tensor([[0.0418]]))"
5e8224550dc171d3c93e7244,"('redflag10', tensor([[0.1190]]))","('redflag11', tensor([[0.1023]]))","('redflag17', tensor([[0.0996]]))"
5e8224680dc171d3c93e724a,"('redflag9', tensor([[0.1171]]))","('redflag11', tensor([[0.1109]]))","('redflag17', tensor([[0.1099]]))"
5e8224000dc171d3c93e721b,"('redflag11', tensor([[0.1236]]))","('redflag9', tensor([[0.1102]]))","('redflag10', tensor([[0.1055]]))"
5e8224b40dc171d3c93e7274,"('redflag14', tensor([[0.0728]]))","('redflag10', tensor([[0.0576]]))","('redflag8', tensor([[0.0533]]))"
5e8224e70dc171d3c93e7294,"('redflag9', tensor([[0.1062]]))","('redflag14', tensor([[0.0997]]))","('redflag2', tensor([[0.0952]]))"
5e8224bf0dc171d3c93e7278,"('redflag2', tensor([[0.1187]]))","('redflag16', tensor([[0.1175]]))","('redflag6', tensor([[0.1174]]))"
5e8225050dc171d3c93e72af,"('redflag17', tensor([[0.0847]]))","('redflag18', tensor([[0.0816]]))","('redflag14', tensor([[0.0788]]))"
5e82251a0dc171d3c93e72b9,"('redflag18', tensor([[0.0676]]))","('redflag8', tensor([[0.0551]]))","('redflag11', tensor([[0.0446]]))"
5e8224e70dc171d3c93e7292,"('redflag4', tensor([[0.0933]]))","('redflag16', tensor([[0.0885]]))","('redflag14', tensor([[0.0728]]))"
5e82251a0dc171d3c93e72ba,"('redflag7', tensor([[0.0473]]))","('redflag8', tensor([[0.0414]]))","('redflag14', tensor([[0.0354]]))"
